source,target,confidence,relation
http://human.owl#NCI_C40186,http://mouse.owl#MA_0000041,1.0,=
http://mouse.owl#MA_0001574,http://human.owl#NCI_C32539,1.0,=
http://mouse.owl#MA_0001820,http://human.owl#NCI_C49211,1.0,=
http://mouse.owl#MA_0000652,http://human.owl#NCI_C52701,1.0,=
http://mouse.owl#MA_0002245,http://human.owl#NCI_C33386,1.0,=
http://human.owl#NCI_C52841,http://mouse.owl#MA_0000467,1.0,=
http://human.owl#NCI_C33732,http://mouse.owl#MA_0001735,1.0,=
http://human.owl#NCI_C33643,http://mouse.owl#MA_0002045,1.0,=
http://human.owl#NCI_C32497,http://mouse.owl#MA_0000451,1.0,=
http://human.owl#NCI_C12573,http://mouse.owl#MA_0000012,1.0,=
http://human.owl#NCI_C32217,http://mouse.owl#MA_0000397,1.0,=
http://mouse.owl#MA_0001363,http://human.owl#NCI_C52723,1.0,=
http://mouse.owl#MA_0000917,http://human.owl#NCI_C12963,1.0,=
http://mouse.owl#MA_0001766,http://human.owl#NCI_C49246,1.0,=
http://human.owl#NCI_C13038,http://mouse.owl#MA_0000396,1.0,=
http://mouse.owl#MA_0000921,http://human.owl#NCI_C12222,1.0,=
http://mouse.owl#MA_0000281,http://human.owl#NCI_C12756,1.0,=
http://human.owl#NCI_C12342,http://mouse.owl#MA_0000266,1.0,=
http://mouse.owl#MA_0001717,http://human.owl#NCI_C33475,1.0,=
http://human.owl#NCI_C13053,http://mouse.owl#MA_0000709,1.0,=
http://human.owl#NCI_C32444,http://mouse.owl#MA_0002099,1.0,=
http://human.owl#NCI_C52762,http://mouse.owl#MA_0001406,1.0,=
http://mouse.owl#MA_0002700,http://human.owl#NCI_C32237,1.0,=
http://mouse.owl#MA_0001493,http://human.owl#NCI_C33682,1.0,=
http://mouse.owl#MA_0001687,http://human.owl#NCI_C12884,1.0,=
http://mouse.owl#MA_0002754,http://human.owl#NCI_C32385,1.0,=
http://mouse.owl#MA_0000659,http://human.owl#NCI_C12715,1.0,=
http://mouse.owl#MA_0000896,http://human.owl#NCI_C32978,1.0,=
http://mouse.owl#MA_0002215,http://human.owl#NCI_C33511,1.0,=
http://mouse.owl#MA_0002396,http://human.owl#NCI_C53179,1.0,=
http://mouse.owl#MA_0002624,http://human.owl#NCI_C33006,1.0,=
http://mouse.owl#MA_0001770,http://human.owl#NCI_C32934,1.0,=
http://human.owl#NCI_C33593,http://mouse.owl#MA_0001193,1.0,=
http://human.owl#NCI_C52718,http://mouse.owl#MA_0001256,1.0,=
http://mouse.owl#MA_0002314,http://human.owl#NCI_C52703,1.0,=
http://mouse.owl#MA_0001178,http://human.owl#NCI_C52810,1.0,=
http://mouse.owl#MA_0000538,http://human.owl#NCI_C33300,1.0,=
http://human.owl#NCI_C32661,http://mouse.owl#MA_0002519,1.0,=
http://mouse.owl#MA_0001424,http://human.owl#NCI_C32242,1.0,=
http://mouse.owl#MA_0001075,http://human.owl#NCI_C12808,1.0,=
http://mouse.owl#MA_0001688,http://human.owl#NCI_C49311,1.0,=
http://human.owl#NCI_C13323,http://mouse.owl#MA_0001286,1.0,=
http://mouse.owl#MA_0001795,http://human.owl#NCI_C12278,1.0,=
http://mouse.owl#MA_0000567,http://human.owl#NCI_C33105,1.0,=
http://human.owl#NCI_C32271,http://mouse.owl#MA_0000153,1.0,=
http://mouse.owl#MA_0001385,http://human.owl#NCI_C52782,1.0,=
http://mouse.owl#MA_0001678,http://human.owl#NCI_C32154,1.0,=
http://human.owl#NCI_C53045,http://mouse.owl#MA_0002114,1.0,=
http://mouse.owl#MA_0002644,http://human.owl#NCI_C12417,1.0,=
http://human.owl#NCI_C33535,http://mouse.owl#MA_0002196,1.0,=
http://human.owl#NCI_C32244,http://mouse.owl#MA_0001426,1.0,=
http://human.owl#NCI_C12228,http://mouse.owl#MA_0000347,1.0,=
http://human.owl#NCI_C12894,http://mouse.owl#MA_0000216,1.0,=
http://mouse.owl#MA_0001991,http://human.owl#NCI_C33597,1.0,=
http://mouse.owl#MA_0000423,http://human.owl#NCI_C33465,1.0,=
http://human.owl#NCI_C33209,http://mouse.owl#MA_0001617,1.0,=
http://mouse.owl#MA_0000508,http://human.owl#NCI_C33809,1.0,=
http://mouse.owl#MA_0000222,http://human.owl#NCI_C52748,1.0,=
http://mouse.owl#MA_0002142,http://human.owl#NCI_C12734,1.0,=
http://mouse.owl#MA_0001526,http://human.owl#NCI_C33837,1.0,=
http://human.owl#NCI_C12273,http://mouse.owl#MA_0000721,1.0,=
http://mouse.owl#MA_0002307,http://human.owl#NCI_C52928,1.0,=
http://mouse.owl#MA_0000711,http://human.owl#NCI_C12481,1.0,=
http://human.owl#NCI_C33838,http://mouse.owl#MA_0000032,1.0,=
http://mouse.owl#MA_0000763,http://human.owl#NCI_C33596,1.0,=
http://mouse.owl#MA_0000740,http://human.owl#NCI_C33029,1.0,=
http://mouse.owl#MA_0000292,http://human.owl#NCI_C33547,1.0,=
http://mouse.owl#MA_0002318,http://human.owl#NCI_C32762,1.0,=
http://mouse.owl#MA_0000478,http://human.owl#NCI_C32455,1.0,=
http://human.owl#NCI_C43630,http://mouse.owl#MA_0002665,1.0,=
http://mouse.owl#MA_0000704,http://human.owl#NCI_C49330,1.0,=
http://human.owl#NCI_C32171,http://mouse.owl#MA_0002084,1.0,=
http://mouse.owl#MA_0001401,http://human.owl#NCI_C52770,1.0,=
http://mouse.owl#MA_0001635,http://human.owl#NCI_C49483,1.0,=
http://human.owl#NCI_C52695,http://mouse.owl#MA_0002212,1.0,=
http://human.owl#NCI_C32162,http://mouse.owl#MA_0000253,1.0,=
http://mouse.owl#MA_0001651,http://human.owl#NCI_C32387,1.0,=
http://mouse.owl#MA_0000484,http://human.owl#NCI_C13164,1.0,=
http://human.owl#NCI_C33035,http://mouse.owl#MA_0000746,1.0,=
http://mouse.owl#MA_0001403,http://human.owl#NCI_C52765,1.0,=
http://mouse.owl#MA_0001558,http://human.owl#NCI_C33571,1.0,=
http://mouse.owl#MA_0001417,http://human.owl#NCI_C52729,1.0,=
http://human.owl#NCI_C49799,http://mouse.owl#MA_0001132,1.0,=
http://human.owl#NCI_C32906,http://mouse.owl#MA_0001486,1.0,=
http://human.owl#NCI_C13270,http://mouse.owl#MA_0002516,1.0,=
http://mouse.owl#MA_0000468,http://human.owl#NCI_C52842,1.0,=
http://mouse.owl#MA_0002183,http://human.owl#NCI_C53056,1.0,=
http://human.owl#NCI_C52730,http://mouse.owl#MA_0001332,1.0,=
http://human.owl#NCI_C52792,http://mouse.owl#MA_0001368,1.0,=
http://mouse.owl#MA_0002442,http://human.owl#NCI_C13058,1.0,=
http://human.owl#NCI_C53047,http://mouse.owl#MA_0002141,1.0,=
http://human.owl#NCI_C32986,http://mouse.owl#MA_0000113,1.0,=
http://human.owl#NCI_C33897,http://mouse.owl#MA_0001497,1.0,=
http://mouse.owl#MA_0002423,http://human.owl#NCI_C33286,1.0,=
http://human.owl#NCI_C12358,http://mouse.owl#MA_0000573,1.0,=
http://mouse.owl#MA_0001278,http://human.owl#NCI_C33694,1.0,=
http://mouse.owl#MA_0000307,http://human.owl#NCI_C32223,1.0,=
http://human.owl#NCI_C52750,http://mouse.owl#MA_0000654,1.0,=
http://mouse.owl#MA_0001030,http://human.owl#NCI_C33402,1.0,=
http://human.owl#NCI_C52749,http://mouse.owl#MA_0000674,1.0,=
http://mouse.owl#MA_0002500,http://human.owl#NCI_C33489,1.0,=
http://mouse.owl#MA_0000974,http://human.owl#NCI_C28401,1.0,=
http://mouse.owl#MA_0001563,http://human.owl#NCI_C33874,1.0,=
http://mouse.owl#MA_0000381,http://human.owl#NCI_C12402,1.0,=
http://mouse.owl#MA_0000581,http://human.owl#NCI_C12419,1.0,=
http://human.owl#NCI_C52554,http://mouse.owl#MA_0002524,1.0,=
http://human.owl#NCI_C53170,http://mouse.owl#MA_0002296,1.0,=
http://human.owl#NCI_C33161,http://mouse.owl#MA_0001299,1.0,=
http://human.owl#NCI_C32619,http://mouse.owl#MA_0002679,1.0,=
http://human.owl#NCI_C49757,http://mouse.owl#MA_0000742,1.0,=
http://human.owl#NCI_C49581,http://mouse.owl#MA_0001267,1.0,=
http://mouse.owl#MA_0001371,http://human.owl#NCI_C52789,1.0,=
http://human.owl#NCI_C33362,http://mouse.owl#MA_0001934,1.0,=
http://mouse.owl#MA_0001297,http://human.owl#NCI_C43370,1.0,=
http://human.owl#NCI_C32276,http://mouse.owl#MA_0002541,1.0,=
http://human.owl#NCI_C33526,http://mouse.owl#MA_0001850,1.0,=
http://human.owl#NCI_C33698,http://mouse.owl#MA_0000941,1.0,=
http://human.owl#NCI_C49263,http://mouse.owl#MA_0001865,1.0,=
http://human.owl#NCI_C52890,http://mouse.owl#MA_0002268,1.0,=
http://mouse.owl#MA_0001931,http://human.owl#NCI_C52846,1.0,=
http://mouse.owl#MA_0002391,http://human.owl#NCI_C53072,1.0,=
http://mouse.owl#MA_0002469,http://human.owl#NCI_C52557,1.0,=
http://mouse.owl#MA_0001565,http://human.owl#NCI_C32538,1.0,=
http://mouse.owl#MA_0000001,http://human.owl#NCI_C21599,1.0,=
http://mouse.owl#MA_0001392,http://human.owl#NCI_C52774,1.0,=
http://mouse.owl#MA_0000215,http://human.owl#NCI_C12700,1.0,=
http://mouse.owl#MA_0001629,http://human.owl#NCI_C43616,1.0,=
http://human.owl#NCI_C12795,http://mouse.owl#MA_0000225,1.0,=
http://human.owl#NCI_C33123,http://mouse.owl#MA_0000053,1.0,=
http://human.owl#NCI_C38466,http://mouse.owl#MA_0000139,1.0,=
http://mouse.owl#MA_0000722,http://human.owl#NCI_C13024,1.0,=
http://mouse.owl#MA_0002639,http://human.owl#NCI_C32591,1.0,=
http://human.owl#NCI_C12770,http://mouse.owl#MA_0000449,1.0,=
http://human.owl#NCI_C52892,http://mouse.owl#MA_0002274,1.0,=
http://mouse.owl#MA_0002450,http://human.owl#NCI_C13236,1.0,=
http://mouse.owl#MA_0001697,http://human.owl#NCI_C32206,1.0,=
http://human.owl#NCI_C52956,http://mouse.owl#MA_0002340,1.0,=
http://human.owl#NCI_C32409,http://mouse.owl#MA_0001056,1.0,=
http://mouse.owl#MA_0001439,http://human.owl#NCI_C33724,1.0,=
http://human.owl#NCI_C33213,http://mouse.owl#MA_0002206,1.0,=
http://mouse.owl#MA_0001181,http://human.owl#NCI_C52805,1.0,=
http://mouse.owl#MA_0002421,http://human.owl#NCI_C32885,1.0,=
http://human.owl#NCI_C33394,http://mouse.owl#MA_0000907,1.0,=
http://human.owl#NCI_C12897,http://mouse.owl#MA_0001073,1.0,=
http://human.owl#NCI_C32636,http://mouse.owl#MA_0000906,1.0,=
http://human.owl#NCI_C13321,http://mouse.owl#MA_0002512,1.0,=
http://mouse.owl#MA_0000751,http://human.owl#NCI_C49260,1.0,=
http://mouse.owl#MA_0000121,http://human.owl#NCI_C12270,1.0,=
http://mouse.owl#MA_0001846,http://human.owl#NCI_C49256,1.0,=
http://www.geneontology.org/formats/oboInOwl#ObsoleteClass,http://www.geneontology.org/formats/oboInOwl#ObsoleteClass,1.0,=
http://human.owl#NCI_C52863,http://mouse.owl#MA_0001975,1.0,=
http://human.owl#NCI_C33649,http://mouse.owl#MA_0002698,1.0,=
http://human.owl#NCI_C13022,http://mouse.owl#MA_0000151,1.0,=
http://mouse.owl#MA_0001098,http://human.owl#NCI_C33217,1.0,=
http://mouse.owl#MA_0002491,http://human.owl#NCI_C12336,1.0,=
http://mouse.owl#MA_0002461,http://human.owl#NCI_C33885,1.0,=
http://mouse.owl#MA_0000223,http://human.owl#NCI_C12764,1.0,=
http://mouse.owl#MA_0002607,http://human.owl#NCI_C33334,1.0,=
http://human.owl#NCI_C33734,http://mouse.owl#MA_0001998,1.0,=
http://human.owl#NCI_C52845,http://mouse.owl#MA_0001933,1.0,=
http://human.owl#NCI_C33692,http://mouse.owl#MA_0000916,1.0,=
http://mouse.owl#MA_0001622,http://human.owl#NCI_C32582,1.0,=
http://mouse.owl#MA_0001756,http://human.owl#NCI_C32933,1.0,=
http://human.owl#NCI_C12925,http://mouse.owl#MA_0000234,1.0,=
http://mouse.owl#MA_0000644,http://human.owl#NCI_C32368,1.0,=
http://human.owl#NCI_C32757,http://mouse.owl#MA_0001796,1.0,=
http://human.owl#NCI_C52838,http://mouse.owl#MA_0000458,1.0,=
http://human.owl#NCI_C12717,http://mouse.owl#MA_0001359,1.0,=
http://mouse.owl#MA_0000403,http://human.owl#NCI_C33049,1.0,=
http://human.owl#NCI_C32329,http://mouse.owl#MA_0000888,1.0,=
http://human.owl#NCI_C33882,http://mouse.owl#MA_0002438,1.0,=
http://human.owl#NCI_C52769,http://mouse.owl#MA_0001410,1.0,=
http://human.owl#NCI_C33330,http://mouse.owl#MA_0002489,1.0,=
