Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000624,=,1.0,http://human.owl#NCI_C53173,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001860,=,1.0,http://human.owl#NCI_C13167,[],[],[],false,false positive
"",localtest,MyMatcher,"[""Navicular_Bone""]",[],"[""owl:Class""]",http://human.owl#NCI_C33162,=,1.0,http://mouse.owl#MA_0001349,"[""navicular""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001067,=,0.0,http://human.owl#NCI_C33377,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002229,=,0.0,http://human.owl#NCI_C53129,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001857,=,0.0,http://human.owl#NCI_C49304,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Dorsal_Muscle_of_the_Back""]",[],"[""owl:Class""]",http://human.owl#NCI_C32474,=,1.0,http://mouse.owl#MA_0000496,"[""back muscle""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000273,=,0.0,http://human.owl#NCI_C12737,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000015,=,0.0,http://human.owl#NCI_C13056,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Anterior_Choroidal_Artery""]",[],"[""owl:Class""]",http://human.owl#NCI_C32083,=,1.0,http://mouse.owl#MA_0001237,"[""choroidal blood vessel""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Hepatic_Sinusoid""]",[],"[""owl:Class""]",http://human.owl#NCI_C32733,=,1.0,http://mouse.owl#MA_0000367,"[""liver sinusoid""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001343,=,1.0,http://human.owl#NCI_C12860,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001315,=,1.0,http://human.owl#NCI_C33166,[],[],[],false,false positive
"",localtest,MyMatcher,"[""Abducens_Nerve""]",[],"[""owl:Class""]",http://human.owl#NCI_C12665,=,1.0,http://mouse.owl#MA_0001087,"[""abducens VI nerve""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001246,=,0.0,http://human.owl#NCI_C32454,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000413,=,1.0,http://human.owl#NCI_C12813,[],[],[],true,true positive
"",localtest,MyMatcher,"[""Orbit""]",[],"[""owl:Class""]",http://human.owl#NCI_C12347,=,1.0,http://mouse.owl#MA_0002482,"[""orbit""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001648,=,1.0,http://human.owl#NCI_C32892,[],[],[],false,false positive
"",localtest,MyMatcher,"[""Median_Artery""]",[],"[""owl:Class""]",http://human.owl#NCI_C52970,=,1.0,http://mouse.owl#MA_0001999,"[""median artery""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Ischiocavernosus""]",[],"[""owl:Class""]",http://human.owl#NCI_C52946,=,1.0,http://mouse.owl#MA_0002330,"[""ischiocavernosus""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Inferior_Hypogastric_Nerve_Plexus""]",[],"[""owl:Class""]",http://human.owl#NCI_C52721,=,1.0,http://mouse.owl#MA_0001141,"[""inferior hypogastric nerve plexus""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001709,=,0.0,http://human.owl#NCI_C32692,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Decidua""]",[],"[""owl:Class""]",http://human.owl#NCI_C32425,=,1.0,http://mouse.owl#MA_0001722,"[""decidua""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Temporo-maxillary_Vein""]",[],"[""owl:Class""]",http://human.owl#NCI_C33746,=,1.0,http://mouse.owl#MA_0002239,"[""temporal vein""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000596,=,1.0,http://human.owl#NCI_C12296,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002365,=,0.0,http://human.owl#NCI_C53175,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000096,=,1.0,http://human.owl#NCI_C33430,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000371,=,1.0,http://human.owl#NCI_C34028,[],[],[],false,false positive
